endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Rua Eduardo Agostini, 4577 - Taquara, Rio de Janeiro - RJ",1.497.000,1.000,"
                350
              ","4
","4
","4
"
"Avenida Atlântica - Copacabana, Rio de Janeiro - RJ",2.000.000,1.380,"
                160
              ","3
","3
","--
"
"Avenida São Félix, 330 - Vista Alegre, Rio de Janeiro - RJ",600.000,,"
                200
              ","2
","1
","3
"
"Rua Cândido Mendes, 139 - Glória, Rio de Janeiro - RJ",750.000,1.100,"
                90
              ","2
","2
","1
"
"Rua Andrade Neves, 93 - Tijuca, Rio de Janeiro - RJ",800.000,1.200,"
                100
              ","3
","3
","1
"
"Rua Ferreira de Andrade, 567 - Cachambi, Rio de Janeiro - RJ",800.000,1.000,"
                186
              ","5
","4
","3
"
"Rua Haddock Lobo, 210 - Tijuca, Rio de Janeiro - RJ",R$,,"
                22-150
              ","--
","--
","--
"
"Avenida Vice-Presidente José Alencar, 1455 - Jacarepaguá, Rio de Janeiro - RJ",1.785.000,1.800,"
                166
              ","4
","5
","3
"
"Rua Ubaldino do Amaral, 80 - Centro, Rio de Janeiro - RJ",300.000,600,"
                57
              ","2
","2
","--
"
"Rua Manuel Brasiliense - Barra da Tijuca, Rio de Janeiro - RJ",1.600.000,1.000,"
                160
              ","3
","3
","2
"
"Rua Viúva Lacerda, 249 - Humaitá, Rio de Janeiro - RJ",1.150.000,880,"
                95
              ","3
","2
","--
"
"Rua Professor Sílvio Fialho - Anil, Rio de Janeiro - RJ",2.300.000,790,"
                471
              ","5
","4
","5
"
"Rua Marquês de Valença - Tijuca, Rio de Janeiro - RJ",650.000,1.100,"
                100
              ","3
","3
","1
"
"Rua Antunes Maciel, 254 - São Cristóvão, Rio de Janeiro - RJ",480.000,,"
                64
              ","1
","1
","--
"
"Rua Ministro Raul Fernandes, 216 - Botafogo, Rio de Janeiro - RJ",2.800.000,2.000,"
                145
              ","3
","3
","2
"
"Avenida Afonso Arinos de Melo Franco, 285 - Barra da Tijuca, Rio de Janeiro - RJ",1.790.000,1.850,"
                140
              ","3
","2
","2
"
"Rua Pio Correia, 92 - Jardim Botânico, Rio de Janeiro - RJ",1.070.000,1.341,"
                80
              ","2
","2
","1
"
"Rua Assunção, 159 - Botafogo, Rio de Janeiro - RJ",2.390.000,2.126,"
                148
              ","4
","4
","2
"
"Avenida Tim Maia, 7375 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",410.000,700,"
                67
              ","2
","2
","1
"
"Rua Uruguai, 471 - Andaraí, Rio de Janeiro - RJ",700.000,805,"
                98
              ","3
","2
","1
"
"Rua Antunes Maciel, 254 - São Cristóvão, Rio de Janeiro - RJ",229.000,,"
                35
              ","1
","1
","--
"
"Rua Silvia Pozzano, 0 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",135.900.000,,"
                181
              ","3
","4
","1
"
"Estrada dos Três Rios, 1721 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",950.000,1.240,"
                129
              ","4
","3
","2
"
